3144.3606544733047,0.2745,20126.134770691395,0.2764
2647.3566819429398,0.37584,16927.06044127047,0.3778
2436.844928741455,0.43308,15605.251762509346,0.4289
2253.726038515568,0.4834,14521.202063271776,0.4761
2118.1731871962547,0.51634,13735.340641553514,0.5083
2011.5821689367294,0.54178,13138.163920891006,0.5277
1921.3247526288033,0.56328,12660.966914598132,0.5487
1845.0775091648102,0.58238,12293.921408941882,0.5669
1773.9703556895256,0.60086,11955.42984304746,0.5795
1705.6490936875343,0.61446,11652.181401468595,0.5893
