3174.690429329872,0.26286,20278.392255604267,0.2672
2649.8637268543243,0.37216,16952.512447044253,0.3729
2448.745840907097,0.42434,15672.108590010554,0.4284
2279.7404718995094,0.46768,14643.762026989833,0.4687
2151.547939658165,0.50142,13929.396543803625,0.4984
2046.4947647452354,0.52946,13354.140182296978,0.5227
1960.1445900797844,0.55114,12921.979141336924,0.5415
1872.017546057701,0.57304,12480.461087304575,0.5605
1800.3190698623657,0.58986,12144.544604124967,0.5737
1731.8926302790642,0.60698,11859.32595302962,0.5871
